,0
0,What was the name of the day that Stewart decided to go to the beach?
1,What did Stewart think was going to arrive on Saturday?
2,How did the bug crawl across his blanket?
3,What is my mommy's job?
4,What does Mommy do to make costumes for movie stars?
5,When did Mommy help make a boot for a costume?
6,How did mommy help with the boot?
7,What color does Marsha love playing with her noodle friend?
8,What was the name of Marsha's favorite dinner?
9,When did a piece of spaghetti fall on the kitchen floor?
10,Which dog has tried to take Joey from Marsha and eat him?
11,What was the name of the elf that was a stinker?
12,What did a elf throw at at the girls?
13,Who did he give the queen shorts as a birthday gift?
14,How did the boy look for someone who was asleep so he could draw on them?
15,What was the name of Jane's doll?
16,What was Samantha's best friend?
17,How did Jane feel about Samantha?
18,When did Jane drop Samantha on the floor?
19,What did John think was a criminal at work?
20,How long did he walk through the snow?
21,What was the name of the crook that had fallen on the fence on a windy day?
22,"How long is my hamster going to have a big home with lots of paper towel rolls to eat, or even sleep in?"
23,What is going to bite me in the beginning?
24,"When I'm reading my favorite book, sleeping, or doing my homework, what is going on in her home?"
25,When was Jenny standing on a rock?
26,What did Jenny do after she sneeze?
27,When did Jenny get to the park and see her daddy?
28,How did Jenny go to the lake and sat down?
29,What was Jen's favorite dress?
30,What was the name of the cake Jen wanted to have on it?
31,When did Jen get home?
32,Who did Jen want to have?
33,What is the name of Tommy's father's birthday?
34,What does Tommy see when he opens his presents?
35,Who rides his new bike down the street?
36,When was a squirrel on a seesaw near my house?
37,What did the ox throw the squirrel off and high into the air?
38,How long did the squirrel fall and fall?
39,When did Pester come into the room?
40,What was the name of the black dog that Pester had never seen before?
41,When did he see a brown chicken in the living room? What was a dog that he thought he liked?
42,What was the name of the duck that swam around the pond?
43,When did Jimmy eat his food?
44,What did Jimmy do when he slept for a few hours?
45,What was the name of a little boy who had a rock?
46,What was his favorite toy?
47,When did the little boy meet a brown cow?
48,How did the cow look at the cow's mouth?
49,What was Tammy's name?
50,What was the name of the tiger Tammy was a friend with?
51,How did Tammy go to the store?
52,Who bought carrots and celery?
53,How many houses down was Mary's house?
54,What did John think John was afraid of?
55,How did Mary and Kim go to the park to play?
56,When did the girls go home?
57,What was the name of Johnny's friend who used straw to blow paint on his paper?
58,What did Johnny use to make a picture of her and her dog?
59,Who used a potato to make stars?
60,When did Johnny get second place?
61,What was the name of the guy who traveled from his home in the United States of America to Erin's house in England?
62,When did Kevin and Erin first travel around the world?
63,Where did Erin and Kevin go on a trip through the mountains?
64,Who did Tommy and Suzy go to the playground with?
65,What was the name of the kids who went to a playground with their mom and dad?
66,Who was the best friend of Tommy and Ally?
67,When did Tommy join the game of tag?
68,Who was the best singer in the land?
69,Who found a witch to steal Princess Ellen's voice?
